country,-5,-4,-3,-2,-1,1,2,3,4,5,year_changes,mean_before,mean_after,razviv,targeting_inf
Австрия,3.1,3.4,3.2,2.7,1.6,1.8,1.2,0.8,0.5,2,1996,2.8,1.3,1,0
Бельгия,3.2,2.3,2.5,2.4,1.3,1.8,1.5,0.9,1.1,2.7,1996,2.3,1.6,1,0
Германия,3.5,5,4.5,2.7,1.7,1.3,1.5,0.6,0.6,1.4,1996,3.5,1.1,1,0
Гонконг,11.2,9.6,8.8,8.8,9,6.3,5.8,2.8,-4,-3.7,1996,9.5,1.3,1,0
Греция,19.5,15.9,14.4,10.9,8.8,7.9,5.4,4.5,2.1,2.9,1996,13.8,4.5,1,0
Дания,2.4,2.1,1.2,2,2.1,2.2,2.2,1.8,2.5,2.9,1996,2.0,2.3,1,0
Ирландия,3.1,3.1,1.4,2.4,2.5,2.2,1.3,2.1,2.4,5.3,1996,2.5,2.7,1,0
Испания,5.9,7.1,4.6,4.7,4.7,3.6,1.9,1.8,2.2,3.5,1996,5.4,2.6,1,0
Италия,6.2,5,4.5,4.2,5.4,4,1.8,2,1.7,2.6,1996,5.1,2.4,1,0
Кипр,5,6.5,4.9,4.7,2.6,2.6,3.3,2.3,1.1,4.9,1996,4.7,2.8,1,0
Люксембург ,3.1,3.2,3.6,2.2,1.9,1.2,1.4,1,1,3.8,1996,2.8,1.7,1,0
Мальта,2.6,1.8,4,4.1,4,2,3.9,3.7,2.3,3,1996,3.3,3.0,1,0
Нидерланды,3.2,2.8,1.6,2.1,1.3,1.4,1.9,1.8,2,2.3,1996,2.2,1.9,1,0
Португалия,11.4,8.9,5.9,5,4,2.9,1.9,2.2,2.2,2.8,1996,7.0,2.4,1,0
Сингапур,3.4,2.2,2.3,3.1,1.7,1.4,2,-0.3,0,1.3,1996,2.5,0.9,1,0
Словакия,11.1,20.8,10.0,13.5,9.9,5.8,6,6.7,10.5,12.2,1996,13.0,8.2,1,0
США,4.2,3,3,2.6,2.8,2.9,2.3,1.5,2.2,3.4,1996,3.1,2.5,1,0
Тайвань,3.6,4.5,2.9,4.1,3.7,3.1,0.9,1.7,0.2,1.3,1996,3.8,1.4,1,0
Финляндия,4.2,2.9,2.2,1.1,1,1.1,1.2,1.3,1.3,3,1996,2.3,1.6,1,0
Франция,3.4,2.5,2.2,1.7,1.8,2.1,1.3,0.7,0.6,1.8,1996,2.3,1.3,1,0
Швейцария,5.9,4,3.3,0.9,1.8,0.8,0.5,0,0.8,1.6,1996,3.2,0.7,1,0
Япония,3.3,1.8,1.2,0.7,-0.1,0.1,1.7,0.7,-0.3,-0.7,1996,1.4,0.3,1,0
