resID	atmilitary	atreligion	ated	atprof	atinc	atrace	atage	atmale	selected	rating
228	2	2	2	2	6	5	5	1	1	0.8333333333333334
228	1	2	2	1	6	3	5	1	1	0.8333333333333334
228	2	1	2	6	5	1	3	1	0	0.6666666666666666
134	1	2	3	2	5	5	5	2	0	0.5
134	2	2	4	2	3	2	3	1	1	0.6666666666666666
134	1	1	1	6	6	1	3	1	0	0.16666666666666666
134	2	1	5	3	4	4	2	1	1	0.5
134	1	3	2	6	1	6	3	1	1	0.5
134	1	2	1	6	5	1	1	1	0	0.3333333333333333
134	1	2	3	2	3	2	4	1	0	0.6666666666666666
134	2	5	2	1	5	6	3	2	1	0.8333333333333334
134	1	1	3	1	5	6	2	2	1	0.5
134	1	2	3	4	4	1	5	1	0	0.5
98	1	4	4	4	2	1	3	2	1	0.5
98	1	4	4	6	4	5	1	2	0	0.3333333333333333
98	2	6	5	1	2	5	6	2	0	0.3333333333333333
98	2	5	3	2	2	2	2	2	1	0.5
98	2	4	2	5	4	4	5	1	1	0.5
98	1	5	1	6	5	3	5	2	0	0.3333333333333333
98	2	4	1	4	1	5	3	1	0	0.3333333333333333
98	1	6	5	4	6	5	4	2	1	0.3333333333333333
98	1	1	1	3	3	3	1	1	1	0.5
98	2	6	4	1	4	6	3	2	0	0.3333333333333333
646	2	2	1	3	6	3	1	1	1	0.8333333333333334
646	1	4	1	6	5	3	1	1	0	0.3333333333333333
646	2	2	2	3	2	2	5	1	1	0.6666666666666666
646	1	4	6	3	5	5	6	1	0	0.3333333333333333
646	2	4	2	5	4	4	5	2	1	0.6666666666666666
646	1	5	2	3	4	1	1	1	0	0.3333333333333333
646	1	4	3	1	3	2	4	1	0	1
646	1	1	4	4	4	5	3	1	1	0.16666666666666666
646	2	3	6	1	4	3	1	2	1	0.8333333333333334
646	1	6	5	3	3	4	1	2	0	0.3333333333333333
123	1	6	5	6	2	2	4	1	0	0.5
123	1	2	6	5	3	2	2	1	1	0.6666666666666666
123	1	6	2	1	1	2	2	2	0	0.3333333333333333
123	1	3	4	2	4	2	6	2	1	0.8333333333333334
123	1	4	1	6	1	4	5	2	0	0.3333333333333333
123	1	1	1	3	5	4	5	1	1	0.8333333333333334
123	2	1	3	2	2	6	5	2	1	0.8333333333333334
123	1	4	6	5	3	3	3	2	0	0.3333333333333333
123	2	6	4	6	1	4	4	2	1	0.6666666666666666
123	1	2	1	3	6	3	2	2	0	0.3333333333333333
567	2	1	2	2	5	2	5	1	1	0.6666666666666666
567	2	5	5	1	6	4	1	2	0	0.5
567	1	5	1	2	1	6	2	1	0	0.3333333333333333
567	1	4	2	1	3	3	4	1	1	0.6666666666666666
567	2	2	2	6	6	1	6	1	0	0.6666666666666666
567	1	6	6	4	6	5	6	1	1	0.6666666666666666
567	1	5	6	3	3	2	6	1	0	0.6666666666666666
567	2	2	3	2	2	4	5	2	1	0.3333333333333333
567	1	5	6	5	3	6	4	1	1	0.5
567	1	6	2	1	5	6	1	1	0	0.5
127	2	6	3	4	6	5	1	1	1	0.6666666666666666
127	1	5	2	6	3	2	4	2	0	0.6666666666666666
127	1	2	1	2	3	5	5	2	0	0.5
127	2	6	5	1	1	1	3	1	1	0.5
127	1	5	4	5	4	5	4	1	1	0.5
127	1	3	4	4	2	2	6	1	0	0.5
127	2	6	1	4	6	5	2	1	1	0.5
127	2	1	1	4	6	1	2	2	0	0.5
127	2	3	6	6	3	4	5	2	1	0.3333333333333333
127	2	2	1	5	3	4	6	2	0	0.3333333333333333
894	1	2	5	1	3	1	3	1	1	0.8333333333333334
894	1	2	5	6	2	2	4	2	0	0.6666666666666666
894	1	5	3	4	4	3	6	1	0	0.6666666666666666
894	1	1	5	1	4	3	4	1	1	0.8333333333333334
894	2	4	5	5	2	5	4	2	0	0.8333333333333334
894	1	6	5	4	3	1	5	2	1	0.5
894	2	3	4	3	1	6	5	2	1	0.8333333333333334
894	1	6	5	4	1	2	6	1	0	0.6666666666666666
894	2	3	6	3	2	4	4	2	1	0.8333333333333334
894	1	4	3	4	4	4	5	1	0	0.6666666666666666
140	1	4	1	1	4	1	3	1	0	0.5
140	2	2	4	1	5	2	2	2	1	0.6666666666666666
140	1	2	4	1	1	5	3	1	0	0.5
140	2	6	2	1	1	5	4	2	1	0.6666666666666666
140	2	1	4	3	4	1	5	2	1	0.6666666666666666
140	1	6	1	6	2	2	1	2	0	0.5
140	1	1	5	3	5	6	5	2	0	0.3333333333333333
140	2	1	5	3	1	3	4	1	1	0.6666666666666666
140	1	3	1	3	3	2	5	1	0	0.5
140	2	4	2	4	1	1	5	1	1	0.6666666666666666
155	1	3	4	3	3	6	1	1	0	0.5
155	2	5	5	4	5	4	2	1	1	1
155	1	4	1	2	3	4	5	2	0	0
155	2	3	2	4	1	3	1	1	1	1
155	2	2	4	5	4	3	6	2	1	1
