"","green","Amt_Issued","YAS_Yield_Spread","BVALMidYTM","X260D_volatility","ecological_index","women_on_board","independent_directors","independence_num","ESG_Reporting","government_dummy","Cpn","mty_years_frm","years_to_maturity","call_ext_sink","perpetual","comp_return","roe","roe_bit","roc","solvency","country_risk_num","rep_risk_num","crs_rating","crif_rating","crif_peer_rating","ecological_risk","stability","number_of_former_directors","number_of_executors"
"716",0,166.118216,-1518.0136,0.936030617823947,0.881951219512195,0.887174541947927,0,0,0.926553672316384,0,1,2.86,4.958247775,4.98630136986301,0,0,0.881195908733281,0.881286067600989,0.881286067600989,0.806611570247934,0.848885793871866,1,2,0.858695652173913,0.889934148635936,0.886075949367089,0.876712328767123,8,0,0
"717",0,208.2101966,-328,0.936030617823947,0.881951219512195,0.887174541947927,0,0,0.926553672316384,0,1,13.9,1.776865161,1.99452054794521,0,0,0.881195908733281,0.881286067600989,0.881286067600989,0.806611570247934,0.848885793871866,1,2,0.858695652173913,0.889934148635936,0.886075949367089,0.876712328767123,8,0,0
"718",0,925.4725537,68,0.936030617823947,0.881951219512195,0.887174541947927,0,0,0.926553672316384,0,1,9.4,1.029431896,1.99452054794521,0,0,0.881195908733281,0.881286067600989,0.881286067600989,0.806611570247934,0.848885793871866,1,2,0.858695652173913,0.889934148635936,0.886075949367089,0.876712328767123,8,0,0
"719",0,93.5256,106,0.936030617823947,0.881951219512195,0.887174541947927,0,0,0.926553672316384,0,1,10.66,0.895277207,1.99452054794521,0,0,0.881195908733281,0.881286067600989,0.881286067600989,0.806611570247934,0.848885793871866,1,2,0.858695652173913,0.889934148635936,0.886075949367089,0.876712328767123,8,0,0
"720",0,94.4636492,-1501.5339,0.936030617823947,0.881951219512195,0.887174541947927,0,0,0.926553672316384,0,1,3.16,2.102669405,4.98630136986301,0,0,0.881195908733281,0.881286067600989,0.881286067600989,0.806611570247934,0.848885793871866,1,2,0.858695652173913,0.889934148635936,0.886075949367089,0.876712328767123,8,0,0
"721",0,364.0036914,-371,0.936030617823947,0.881951219512195,0.887174541947927,0,0,0.926553672316384,0,1,9.78,0.780287474,1.99452054794521,0,0,0.881195908733281,0.881286067600989,0.881286067600989,0.806611570247934,0.848885793871866,1,2,0.858695652173913,0.889934148635936,0.886075949367089,0.876712328767123,8,0,0
"722",0,149.73695,0.935587761674718,0.936030617823947,0.881951219512195,0.887174541947927,0,0,0.926553672316384,0,1,2.8,1.451060917,4.98630136986301,0,0,0.881195908733281,0.881286067600989,0.881286067600989,0.806611570247934,0.848885793871866,1,2,0.858695652173913,0.889934148635936,0.886075949367089,0.876712328767123,8,0,0
"723",0,328.5410752,-367,0.936030617823947,0.881951219512195,0.887174541947927,0,0,0.926553672316384,0,1,11.5,0.62696783,1.99452054794521,0,0,0.881195908733281,0.881286067600989,0.881286067600989,0.806611570247934,0.848885793871866,1,2,0.858695652173913,0.889934148635936,0.886075949367089,0.876712328767123,8,0,0
"724",0,2.363481341,0.935587761674718,0.936030617823947,0.881951219512195,0.887174541947927,0,0,0.926553672316384,0,1,0.76,0.755646817,1.91780821917808,0,0,0.881195908733281,0.881286067600989,0.881286067600989,0.806611570247934,0.848885793871866,1,2,0.858695652173913,0.889934148635936,0.886075949367089,0.876712328767123,8,0,0
"725",0,159.6558174,-357,0.936030617823947,0.881951219512195,0.887174541947927,0,0,0.926553672316384,0,1,9.5,1.18275154,1.99452054794521,0,0,0.881195908733281,0.881286067600989,0.881286067600989,0.806611570247934,0.848885793871866,1,2,0.858695652173913,0.889934148635936,0.886075949367089,0.876712328767123,8,0,0
"726",0,356.4055981,0.935587761674718,0.936030617823947,0.881951219512195,0.887174541947927,0,0,0.926553672316384,0,1,0,0.134154689,1.99452054794521,0,0,0.881195908733281,0.881286067600989,0.881286067600989,0.806611570247934,0.848885793871866,1,2,0.858695652173913,0.889934148635936,0.886075949367089,0.876712328767123,8,0,0
